,user,tweet,location,description,friends_count,followers_count,statuses_count,created_at,retweet_count,hashtags,disorder,Unnamed: 0
0,LabanMbunya,"@CarolRadull Caroll I love Manchester United, Arsenal is full of depression 😂. Welcome to #TheGamePlan","Kisii ,Kenya","A Father,A teacher at Nyakoe Highway Primary School.
 INSTAGRAM https://t.co/YGp9aLGnsi",451,465,2076,2016-02-16 16:23:49,0,"[{'text': 'TheGamePlan', 'indices': [90, 102]}]",depression,
1,KhanRiak,@realmadriden Come and rescue from depression of arsenal 🙏🙏🙏,"Nairobi, Kenya","Founder of Non-violence peace Ambassador. Bsc(telecommunications and IT) at kenyatta university.
BMT@Gèneva university.
Teacher @ SBSS.
Humanitarian worker (HI)",692,51,118,2018-12-06 19:50:08,0,[],depression,
2,Joekiash,"In USA you see names like Bush, Stone yet they progress.  But in Africa , someone with the name Favour is strugglin… https://t.co/J5Wdgrs02r","Nairobi, Kenya,",#INSURANCE & Risk Management|Traveller |Rotarian|Chairman| @ManUtd| Always Thankful•,7232,9822,51742,2011-02-16 10:04:33,1,[],depression,
3,OloloirushaK,"""Cool head"" aftermath, what a hell is wrong with this Arteta😳,not ready for more depression I would rather look for… https://t.co/a7JYiJZP1y","Narok, Kenya",doing what I like most,227,23,16,2021-05-01 09:23:34,0,[],depression,
4,iankemboi1,"@Arsenal just imagining 9 months of this and damn, 😓depression",Nairobi,Hardcore|Angerfist|Hardwell| Software Developer| COYG | F1 FULL SEEEEND,6699,6092,13229,2015-02-15 15:18:45,0,[],depression,
5,JobKaruma,@CarlosDerryy Mwingine aty he bullied Maureen to depression  because  of Tummy!😅sjui hana kazi,"Kiambu, Kenya","The idea is to die Young ,as old as possible 
 ● Dominate Humbly ⚔
 Mancity 💙
Automotives🏎 
Woodwork⚓
Agro🚜🍍",2674,2691,24663,2016-02-10 14:26:21,0,[],depression,
6,bob_genga,@ManUtd Depression,"Kisumu, Kenya",man utd is my Haven,67,327,387,2017-12-27 09:13:44,0,[],depression,
7,ElvoLevyy,"Since we like signing managers with prefix letter A...(Arsen, Arteta) maybe its time for Antonio Conte get this dep… https://t.co/DrxGqwAOW9","Kisumu, Kenya","#Arsenal lover😍, Exodus 14:14 ""The Lord will fight for you, and you shall hold your peace"", I only do good vibes, student/ entrepreneur.",146,40,211,2013-11-06 14:28:06,0,[],depression,
8,_MohamedAdan,All these correspondents covering Arsenal. See the depression on their faces. https://t.co/IXeGAOtD8u,"Nairobi, Kenya",May Allah bring you beautiful ease from where you do not expect.,96,307,34252,2016-09-17 12:17:07,0,[],depression,
9,parklandschief,"#ArtetaOut before we die of depression, @m8arteta must leave!!","Nairobi, Kenya",|GUNNER| LAWYER| LAMU|mainaerique@gmail.com retweets are not endorsements. tweets for fun only,1326,718,6730,2017-07-20 17:13:52,0,"[{'text': 'ArtetaOut', 'indices': [0, 10]}]",depression,
10,PrinceRaymondke,"Being an Arsenal fan is not easy to make it worse you are a Kenyan under Jubilee government.
Then you are a young m… https://t.co/0Zay9hl6IH","Kitale, Kenya","spoken word artist//Depression Help//
#DrugAbuseWar //
#DepressionHelp //
contact👇👇👇👇 
raymondsituma@gmail.com
0713867843",10371,43560,190138,2018-03-16 09:46:38,3,[],depression,
11,its_ogeto,Being broke can make you think you are going through depression,"Ngong, Kenya",bio,276,269,1408,2019-03-14 11:58:30,0,[],depression,
12,CatherineKakai,Tonight at 9pm I will be joining a professional counselor @EZERY-PSYCHOLOGY on an informative insta live on the dep… https://t.co/3nohHQ97ZO,"Nairobi, Kenya","Digital Media Strategist skilled in Digital Marketing, Social Media Management/Branding, Content Creation, Copywriting, Photography, and Graphic design.",1426,1596,2457,2017-03-10 07:59:47,0,[],depression,
13,mandere,@CisNyakundi @karennyamunbo needs to understand there is life beyond social media...and this applies to her and her… https://t.co/YarcSHNh0P,"Nairobi, Kenya",Opportunity = LIFE!  Who you are authentically is alright! #Progressive #Influencer #DevelopmentContent,3454,8420,135175,2009-06-05 17:17:32,0,[],depression,
14,jumbexsto,@WelBeast @Its_Roddie @Arsenal Self inflicted depression,"Nairobi, Kenya",I can do all things through Christ who strengthens me. #YNWA,704,873,3583,2014-10-02 16:02:37,0,[],depression,
15,calvine108,"Better behave, I don't want depression this season please https://t.co/Z5f8OYBixE",Nairobi ,#MUFC.,1951,1502,11797,2013-06-05 09:50:18,0,[],depression,
16,JoginderMikael,"Trying to heal from depression then your team, arsenal plays. 😔","Machakos, Kenya","🖥 Programmer, Web Developer & Academic Writer |
Politics, Religion, Business, Economy, Technology, Photography & Videography Enthusiast.",1006,298,1399,2016-12-09 17:19:26,0,[],depression,
17,crypt_dennis,"Ati arsenal damu😂😂
You will die of depression","Gilgil, Kenya",FUNDI WA SIMU,83,45,357,2021-07-20 06:10:35,0,[],depression,
18,_beingtracy,Yet another morning to over think &amp; deal with depression,"Nairobi, Kenya","Snapchat ~ tracyroyalty 🤍 | VIRGO ♍ 18
🏳️‍🌈",24,31,145,2019-10-12 06:26:37,0,[],depression,
19,HealthandEcono1,"According to @WHO , without scaled-up treatment, 12 billion working days will be lost to depression and anxiety dis… https://t.co/tujNY5mpjt","Kisumu, Kenya","HEDSO promotes integrated health, skills and knowledge development,media advocacy and economic empowerment among the marginalized youth",898,247,163,2021-07-30 17:54:32,1,[],depression,
20,JoeF1k_,I hope you guys won't let your kids sign up for lifetime depression https://t.co/Pmpxj3aPq9,wewe uko wapi? ,The old is dying and the new cannot be born,1111,1444,26949,2014-09-03 12:12:21,0,[],depression,
21,iamNdiema,@WayneOdera Me too 😅😅atakufa depression,Machakos,Enigma,3336,2681,9498,2020-08-28 15:13:51,0,[],depression,
22,nduta_ke_,Depression is real. Please check on your friends. Especially those ones who are always jovial.,Nairobi ,Because Twitter exists 😍👒💄~°happy soul 🌺✌️~°God above all🌹❤️,586,7130,13099,2020-11-12 14:37:52,31,[],depression,
23,KINGD_THEGOD,@Rogueradioolive 😂😂 @mcCray__joe @Dante_Taller pick a struggle uteseke Kenya uende kutafuta distraction unajipata a… https://t.co/vjSCyN0Vd6,Nairobi,Image consultant/ event organizer/ social media management/ creative writer/ social management consultant/ Social therapist CEO of KINGED CULTURE PLUS ONE.,975,1065,5254,2012-06-17 13:00:04,1,[],depression,
24,hellen_muchiri,"Depression is real #depressionawareness 
#beyourbrotherskeeper
#letfightthis
#depressedhavearighttolive https://t.co/hSKxXVr3m0",Nairobi Kenya,Am a conquerer,281,153,306,2013-10-04 03:50:34,0,"[{'text': 'depressionawareness', 'indices': [19, 39]}, {'text': 'beyourbrotherskeeper', 'indices': [41, 62]}, {'text': 'letfightthis', 'indices': [63, 76]}, {'text': 'depressedhavearighttolive', 'indices': [77, 103]}]",depression,
25,CristianOpiyo,If depression was a club (Arsenal)😂 https://t.co/6BL2f6MGiN,Nairobi Kenya,"Influencer •|• Marketer •||• follow
𝚒𝙱𝚛𝚊𝚗𝚍 | 𝚒𝙿𝚛𝚘𝚖𝚘𝚝𝚎 𝙰𝙳𝚜 | 𝚒𝚃𝚛𝚎𝚗𝚍 𝚌𝚊𝚖𝚙𝚊𝚒𝚐𝚗𝚜
Graphic Designer
DM strictly for business",2310,2398,5445,2015-04-05 14:20:49,9,[],depression,
26,CristianOpiyo,@CarolRadull @lerantai If depression was a club (Arsenal)😂 https://t.co/oMXWcoQE2W,Nairobi Kenya,"Influencer •|• Marketer •||• follow
𝚒𝙱𝚛𝚊𝚗𝚍 | 𝚒𝙿𝚛𝚘𝚖𝚘𝚝𝚎 𝙰𝙳𝚜 | 𝚒𝚃𝚛𝚎𝚗𝚍 𝚌𝚊𝚖𝚙𝚊𝚒𝚐𝚗𝚜
Graphic Designer
DM strictly for business",2310,2398,5445,2015-04-05 14:20:49,0,[],depression,
27,CristianOpiyo,@FcMutuals If depression was a club (Arsenal)😂 https://t.co/dBfr5PSpox,Nairobi Kenya,"Influencer •|• Marketer •||• follow
𝚒𝙱𝚛𝚊𝚗𝚍 | 𝚒𝙿𝚛𝚘𝚖𝚘𝚝𝚎 𝙰𝙳𝚜 | 𝚒𝚃𝚛𝚎𝚗𝚍 𝚌𝚊𝚖𝚙𝚊𝚒𝚐𝚗𝚜
Graphic Designer
DM strictly for business",2310,2398,5445,2015-04-05 14:20:49,0,[],depression,
28,PhilipMwangi001,Arsenal serving depression to Presidents. https://t.co/IIJrLtSaCR,"Nairobi, Kenya",,2000,1350,490,2016-10-30 18:25:15,0,[],depression,
29,Lutherjr14,@nasirkenya @Arsenal Hey son!..its not too late to change team ...you'll die of depression..,"Nairobi, Kenya",Trust the process...,234,64,437,2020-02-29 11:28:43,0,[],depression,
30,mayday_snr,@marubekevin80 @Arsenal Bro I honestly think there should be a study conducted to show which fans have  diseases li… https://t.co/wqxNn4BdnZ,"Nairobi, Kenya",Digital media strategist official Twitter account Office Of the leader of Majority - senate Kenya,7238,7152,34422,2012-04-10 10:07:17,0,[],depression,
31,lazaruspolwalk1,"If you rearrange the word depression you get ""i pressed on🤔"" 

No matter what life throws at u ..Keep going 
#MentalHealthMatters 
#BREARS","Kajiado, Kenya",microbiology and biotech UON,328,155,177,2017-09-06 05:46:30,1,"[{'text': 'MentalHealthMatters', 'indices': [109, 129]}, {'text': 'BREARS', 'indices': [131, 138]}]",depression,
32,SaadaApp,The most effective method to Help Someone Who Is Depressed: 3 Steps To Make A Difference https://t.co/NplHCVQlOp… https://t.co/j15FASLxxv,"Nairobi, KE",Empowerment | Companionship | Elevation | Better Help 4 U,89,73,134,2019-11-30 20:57:39,3,[],depression,
33,TGakinya,@Arsenal Wenger comeback 😔..... They want to kill us with depression,"Nyeri, Kenya",😂😂😂😂😂😂,71,3,19,2017-09-28 18:19:54,0,[],depression,
34,solidad__temple,"Thanks @netflix  from saving me from @Arsenal ......this team will give me depression 🚮🚮
#arsbre","Nairobi, Kenya","Arsenal fan🇰🇪
Fav player @mesutozil1088

𝕴’𝖒 𝖙𝖍𝖊 𝖊𝖝𝖈𝖊𝖕𝖙𝖎𝖔𝖓🎀✨
𝕾𝖎𝖒𝖕𝖑𝖊 𝖇𝖚𝖙 𝖘𝖎𝖌𝖓𝖎𝖋𝖎𝖈𝖆𝖓𝖙💯💥
𝗜𝗴 @𝘀𝗼𝗹𝗶𝗱𝗮𝗱__𝘁𝗲𝗺𝗽𝗹𝗲",465,260,990,2015-09-02 08:15:28,0,"[{'text': 'arsbre', 'indices': [89, 96]}]",depression,
35,DecolonialBruja,I’ve already achieved the last two. Can’t wait to get the rest especially the depression free part. https://t.co/ooqtF1Fczj,"Kisumu, Kenya",RALF. Newly elected President of Hogwarts Black Students’ Association. Communications and media expert. Director of @RadFemsKisumu.,3585,4215,42391,2016-02-26 08:17:55,0,[],depression,
36,scottbeast,@CarolRadull Depression is real.. Cry it all out 😏,"nairobi, Kenya ",The next minute does count,98,101,351,2010-09-18 09:58:59,0,[],depression,
37,AugustineBruce_,My boy will go into depression haha,Nairobi,Chelsea FC 💙  #CFC,2719,1428,29293,2013-05-27 04:34:36,0,[],depression,
38,ADualelaw,"Domestic violence has been on the rise this days , Depression is what is killing Kenyans . This gov't lost in everything","Nairobi, Kenya",BASCI/STU-LLB/CEOKKT/Director MCSL.,97,9,50,2021-07-12 22:01:38,0,[],depression,
39,kijanayagilo,"@Sesyline_KE Ni day one na washa finywa,,, depression strikes",gilgil,"Chelsea fan 💙💙
Football be my drug⚽⚽💉💉",142,76,173,2021-03-07 10:41:22,0,[],depression,
40,ItsPhelix_,"🤣🤣🤣waah, depression from the word go
 #UnbeatableFootahOnDStv https://t.co/eq0bG2jEKw","Nairobi, Kenya",God First,26465,30900,26235,2013-04-11 15:44:37,1,"[{'text': 'UnbeatableFootahOnDStv', 'indices': [38, 61]}]",depression,
41,mzeemavittu,Depression continues for arsenal 😂😂😂,"Kakamega, Kenya","'Take the first step in faith. You don't have to see the whole staircase, just take the first step' Martin Luther King, Jr",702,582,1033,2018-06-19 21:05:23,0,[],depression,
42,MissyGathoni,"Told someone I had postpartum depression and all they did was laugh. Long story short, I made it through ❤️ https://t.co/IQhI9xFMrd","Naivasha, Kenya","@Rays__Kitchen  

@SWANNEKY",3248,17273,63667,2013-06-29 11:55:13,0,[],depression,
43,Rein_Asamo,"If you don’t die of youth unemployment and depression, you are killed by a corrupt trigger happy police officers. T… https://t.co/K9fICrouwr","Nairobi, Kenya",Economist,455,5058,41494,2016-04-30 18:48:57,4,[],depression,
44,MohamedArshad14,@AyniElmi Don't die of depression my dear 😂,"Nairobi, Kenya",humanitarian || Ex Arsenal fan🎯,57,54,378,2012-04-18 04:09:19,0,[],depression,
45,Chad_254,"Leo hakuna content, just depression and suffering","Nairobi, Kenya","Free thinker, Manchester United❤",1385,1495,8276,2019-01-22 04:35:42,37,[],depression,
46,nasra_nural_ain,"Dominant prayer; I just want to be happy in my marriage In Shaa Allah. 

Lord knows I can’t deal with depression in marriage 😟","Nairobi, Kenya",Fashion designer|Ex fashion blogger|Journalist gone rogue| IG @nasra_nural_ain_adow Creative genius👉https://t.co/gpYMREKWWj,246,833,3516,2015-12-13 14:45:08,0,[],depression,
47,KE_Fridah,We are in the middle of a pandemic now and we are going through hard times of stress and depression. Yeye by Loui i… https://t.co/rBSBGS7UeC,"Nairobi, Kenya","Young nurse 👩🏾‍⚕️
❤️",2822,171814,87622,2019-07-11 12:17:41,4,[],depression,
